facility_accident_id,accident_id,facility_id,date_of_accident,time_accident_began,release_duration,naics_code
100000103693_1,Accident 1,100000103693,October 2018,05:25,003 Hours 30 Minutes,311615
100000113584_1,Accident 1,100000113584,April 2021,08:28,000 Hours 11 Minutes,322121
100000121405_1,Accident 1,100000121405,January 1999,05:15,000 Hours 06 Minutes,32619
100000138246_1,Accident 1,100000138246,June 2015,21:13,004 Hours 00 Minutes,311615
100000144015_1,Accident 1,100000144015,February 2022,15:35,000 Hours 02 Minutes,32518
100000145425_1,Accident 1,100000145425,April 1995,11:30,000 Hours 01 Minutes,22132
100000161086_1,Accident 1,100000161086,November 1999,06:30,000 Hours 01 Minutes,311812
100000178942_1,Accident 1,100000178942,November 2011,06:30,024 Hours 00 Minutes,221112
100000192864_1,Accident 1,100000192864,August 2010,08:54,049 Hours 06 Minutes,49312
100000245825_1,Accident 1,100000245825,September 2019,03:35,002 Hours 20 Minutes,31151
100000028668_1,Accident 1,100000028668,July 2005,10:00,000 Hours 10 Minutes,339991
100000037783_1,Accident 1,100000037783,June 2022,13:00,000 Hours 01 Minutes,32213
100000047558_1,Accident 1,100000047558,May 2021,07:22,001 Hours 13 Minutes,32519
100000047558_2,Accident 2,100000047558,August 2018,10:21,003 Hours 38 Minutes,32519
100000052998_1,Accident 1,100000052998,August 2023,10:20,000 Hours 01 Minutes,311615
100000054772_1,Accident 1,100000054772,September 2019,08:45,000 Hours 01 Minutes,311615
100000063441_1,Accident 1,100000063441,October 2007,19:00,000 Hours 05 Minutes,339999
100000064119_1,Accident 1,100000064119,September 1998,19:00,001 Hours 00 Minutes,311612
100000064119_2,Accident 2,100000064119,September 1996,03:47,000 Hours 28 Minutes,311612
100000092384_1,Accident 1,100000092384,August 2023,14:00,000 Hours 01 Minutes,32518
100000101123_1,Accident 1,100000101123,July 2000,09:17,000 Hours 24 Minutes,311615
100000101347_1,Accident 1,100000101347,January 2023,21:00,013 Hours 00 Minutes,32518
100000107895_1,Accident 1,100000107895,December 2021,08:56,000 Hours 01 Minutes,32213
100000107895_2,Accident 2,100000107895,May 2021,02:00,029 Hours 00 Minutes,32213
100000107895_3,Accident 3,100000107895,January 2018,21:35,000 Hours 01 Minutes,32213
100000108901_1,Accident 1,100000108901,May 2018,14:55,001 Hours 55 Minutes,562211
100000111425_1,Accident 1,100000111425,January 2023,16:30,003 Hours 00 Minutes,325199
100000111425_2,Accident 2,100000111425,December 2022,05:00,000 Hours 05 Minutes,325199
100000111425_3,Accident 3,100000111425,February 2022,05:20,000 Hours 02 Minutes,325199
100000111425_4,Accident 4,100000111425,December 2019,17:30,002 Hours 30 Minutes,325199
100000112282_1,Accident 1,100000112282,October 2021,15:39,000 Hours 01 Minutes,325998
100000134204_1,Accident 1,100000134204,February 2021,15:30,001 Hours 15 Minutes,32411
100000171164_1,Accident 1,100000171164,December 2014,14:45,000 Hours 05 Minutes,311615
100000172813_1,Accident 1,100000172813,October 2002,12:48,000 Hours 10 Minutes,562211
100000179497_1,Accident 1,100000179497,November 2003,01:12,004 Hours 00 Minutes,22131
100000201462_1,Accident 1,100000201462,July 2022,01:05,000 Hours 15 Minutes,32599
100000238548_1,Accident 1,100000238548,July 2020,09:25,001 Hours 15 Minutes,311111
100000001650_1,Accident 1,100000001650,March 2021,04:11,000 Hours 19 Minutes,49312
100000043106_1,Accident 1,100000043106,July 2020,09:40,120 Hours 00 Minutes,31111
100000054255_1,Accident 1,100000054255,February 1998,10:05,000 Hours 20 Minutes,22131
100000058082_1,Accident 1,100000058082,November 2007,14:00,000 Hours 01 Minutes,22132
100000060079_1,Accident 1,100000060079,June 2021,07:45,180 Hours 00 Minutes,31151
100000091223_1,Accident 1,100000091223,July 2020,17:04,000 Hours 02 Minutes,32615
100000106592_1,Accident 1,100000106592,May 2012,08:00,001 Hours 00 Minutes,32512
100000108279_1,Accident 1,100000108279,October 2019,11:00,000 Hours 10 Minutes,49312
100000132215_1,Accident 1,100000132215,January 2024,12:40,002 Hours 00 Minutes,311514
100000132215_2,Accident 2,100000132215,August 2009,06:07,008 Hours 00 Minutes,311514
100000133526_1,Accident 1,100000133526,October 2022,02:15,003 Hours 47 Minutes,312113
100000141599_1,Accident 1,100000141599,August 1995,18:30,000 Hours 10 Minutes,32518
100000164813_1,Accident 1,100000164813,July 1995,14:30,010 Hours 00 Minutes,42269
100000173867_1,Accident 1,100000173867,July 2013,10:00,000 Hours 20 Minutes,42471
100000214886_1,Accident 1,100000214886,April 2016,14:30,000 Hours 15 Minutes,31151
100000029097_1,Accident 1,100000029097,August 1995,05:50,014 Hours 30 Minutes,49312
100000029346_1,Accident 1,100000029346,October 2023,21:45,010 Hours 00 Minutes,49312
100000043099_1,Accident 1,100000043099,April 2021,00:15,000 Hours 05 Minutes,32552
100000043259_1,Accident 1,100000043259,June 2010,12:02,000 Hours 18 Minutes,325311
100000044819_1,Accident 1,100000044819,May 2008,20:30,001 Hours 30 Minutes,42491
100000048496_1,Accident 1,100000048496,September 1998,09:00,000 Hours 08 Minutes,49312
100000048496_2,Accident 2,100000048496,May 1998,20:30,004 Hours 30 Minutes,22131
100000048496_3,Accident 3,100000048496,February 1995,08:30,000 Hours 01 Minutes,22132
100000049351_1,Accident 1,100000049351,September 2018,18:00,000 Hours 02 Minutes,48821
100000049654_1,Accident 1,100000049654,May 1998,07:30,001 Hours 10 Minutes,221112
100000049654_2,Accident 2,100000049654,April 1997,02:40,000 Hours 20 Minutes,221112
100000056342_1,Accident 1,100000056342,November 2019,19:36,001 Hours 44 Minutes,56191
100000058171_1,Accident 1,100000058171,February 2016,15:30,002 Hours 45 Minutes,49312
100000066698_1,Accident 1,100000066698,June 2021,08:30,040 Hours 00 Minutes,49312
100000066974_1,Accident 1,100000066974,November 2012,16:30,005 Hours 00 Minutes,22133
100000068133_1,Accident 1,100000068133,October 2002,01:30,001 Hours 30 Minutes,311421
100000071557_1,Accident 1,100000071557,May 2021,04:15,000 Hours 20 Minutes,32532
100000072379_1,Accident 1,100000072379,July 1999,19:00,003 Hours 15 Minutes,115114
100000073476_1,Accident 1,100000073476,May 2023,06:20,000 Hours 35 Minutes,32411
100000073476_2,Accident 2,100000073476,February 2020,22:49,033 Hours 48 Minutes,32411
100000075571_1,Accident 1,100000075571,May 2009,07:25,000 Hours 10 Minutes,49312
100000078257_1,Accident 1,100000078257,September 1999,19:08,000 Hours 10 Minutes,115114
100000080832_1,Accident 1,100000080832,June 2020,07:25,005 Hours 00 Minutes,115114
100000083358_1,Accident 1,100000083358,January 2021,14:15,005 Hours 28 Minutes,311412
100000086382_1,Accident 1,100000086382,January 1996,10:00,000 Hours 01 Minutes,32511
100000091713_1,Accident 1,100000091713,December 2022,12:00,096 Hours 00 Minutes,22111
100000095416_1,Accident 1,100000095416,May 2012,14:00,040 Hours 00 Minutes,33391
100000099298_1,Accident 1,100000099298,January 2020,09:20,002 Hours 25 Minutes,32532
100000099298_2,Accident 2,100000099298,January 2019,09:00,000 Hours 02 Minutes,32519
100000099555_1,Accident 1,100000099555,February 2004,11:00,000 Hours 05 Minutes,56179
100000099555_2,Accident 2,100000099555,February 2004,11:15,000 Hours 05 Minutes,56179
100000099555_3,Accident 3,100000099555,July 2003,08:25,000 Hours 30 Minutes,56179
100000101971_1,Accident 1,100000101971,May 2021,14:28,000 Hours 18 Minutes,311513
100000105478_1,Accident 1,100000105478,April 2023,14:30,000 Hours 05 Minutes,22131
100000106333_1,Accident 1,100000106333,June 2008,20:30,002 Hours 30 Minutes,22132
100000111924_1,Accident 1,100000111924,January 2013,09:00,000 Hours 30 Minutes,22132
100000113058_1,Accident 1,100000113058,April 2003,16:50,002 Hours 00 Minutes,49312
100000113058_2,Accident 2,100000113058,January 2003,04:45,003 Hours 00 Minutes,31211
100000114574_1,Accident 1,100000114574,January 2019,14:24,001 Hours 15 Minutes,32512
100000115118_1,Accident 1,100000115118,November 2020,18:40,000 Hours 01 Minutes,325211
100000117777_1,Accident 1,100000117777,December 2020,09:20,001 Hours 25 Minutes,32512
100000119187_1,Accident 1,100000119187,May 2024,09:10,000 Hours 03 Minutes,325211
100000119579_1,Accident 1,100000119579,January 2018,08:40,000 Hours 23 Minutes,32518
100000122529_1,Accident 1,100000122529,July 2006,20:30,005 Hours 50 Minutes,42459
100000123573_1,Accident 1,100000123573,September 2020,07:00,005 Hours 00 Minutes,49312
100000126482_1,Accident 1,100000126482,February 1997,08:00,000 Hours 30 Minutes,56173
100000127276_1,Accident 1,100000127276,March 2011,10:00,056 Hours 00 Minutes,311423
100000127347_1,Accident 1,100000127347,August 2024,08:45,000 Hours 02 Minutes,21239
100000127711_1,Accident 1,100000127711,March 2022,12:28,000 Hours 01 Minutes,212391
100000127711_2,Accident 2,100000127711,August 2021,08:00,000 Hours 15 Minutes,212391
100000138059_1,Accident 1,100000138059,May 2012,05:45,000 Hours 10 Minutes,311615
100000138889_1,Accident 1,100000138889,May 1997,14:15,003 Hours 01 Minutes,48211
100000142384_1,Accident 1,100000142384,December 2023,05:55,002 Hours 15 Minutes,42491
100000142543_1,Accident 1,100000142543,August 2021,05:23,000 Hours 47 Minutes,115114
100000143249_1,Accident 1,100000143249,May 2019,13:30,000 Hours 05 Minutes,311511
100000143739_1,Accident 1,100000143739,May 2001,11:45,000 Hours 20 Minutes,49312
100000144658_1,Accident 1,100000144658,March 1999,08:30,003 Hours 00 Minutes,22132
100000145112_1,Accident 1,100000145112,August 2019,01:58,001 Hours 40 Minutes,115114
100000145194_1,Accident 1,100000145194,November 2023,00:20,000 Hours 12 Minutes,325199
100000145844_1,Accident 1,100000145844,March 2021,12:40,000 Hours 15 Minutes,311513
100000147824_1,Accident 1,100000147824,July 1996,00:30,000 Hours 15 Minutes,22132
100000150347_1,Accident 1,100000150347,August 2022,13:10,000 Hours 25 Minutes,32411
100000150347_2,Accident 2,100000150347,April 2020,10:00,000 Hours 22 Minutes,32411
100000150347_3,Accident 3,100000150347,February 2020,14:40,000 Hours 20 Minutes,32411
100000151532_1,Accident 1,100000151532,November 2013,20:00,002 Hours 25 Minutes,32518
100000153139_1,Accident 1,100000153139,May 2024,09:40,000 Hours 02 Minutes,42491
100000153932_1,Accident 1,100000153932,August 2018,04:00,002 Hours 55 Minutes,32531
100000156083_1,Accident 1,100000156083,November 2003,21:15,000 Hours 05 Minutes,311999
100000156154_1,Accident 1,100000156154,September 2022,21:00,006 Hours 18 Minutes,115114
100000158054_1,Accident 1,100000158054,June 2023,15:30,002 Hours 30 Minutes,331314
100000158054_2,Accident 2,100000158054,December 2020,15:56,006 Hours 00 Minutes,331314
100000158054_3,Accident 3,100000158054,October 2019,19:30,001 Hours 45 Minutes,331314
100000162138_1,Accident 1,100000162138,April 2022,09:00,000 Hours 01 Minutes,22131
100000164092_1,Accident 1,100000164092,May 2020,14:30,000 Hours 20 Minutes,49312
100000165251_1,Accident 1,100000165251,March 2016,18:30,048 Hours 00 Minutes,221116
100000167516_1,Accident 1,100000167516,October 1999,19:00,000 Hours 10 Minutes,31142
100000171128_1,Accident 1,100000171128,October 1998,09:50,000 Hours 15 Minutes,49313
100000174269_1,Accident 1,100000174269,April 2022,18:55,020 Hours 00 Minutes,49312
100000175847_1,Accident 1,100000175847,August 2013,16:40,002 Hours 30 Minutes,32615
100000177211_1,Accident 1,100000177211,January 2024,10:30,002 Hours 07 Minutes,312113
100000189164_1,Accident 1,100000189164,October 1999,19:00,000 Hours 10 Minutes,31142
100000198074_1,Accident 1,100000198074,May 2023,12:15,000 Hours 10 Minutes,311411
100000207297_1,Accident 1,100000207297,March 2016,05:15,000 Hours 05 Minutes,32512
100000210434_1,Accident 1,100000210434,October 2020,12:15,002 Hours 00 Minutes,311611
100000210782_1,Accident 1,100000210782,May 2021,00:40,003 Hours 10 Minutes,115114
100000213404_1,Accident 1,100000213404,August 2009,05:30,000 Hours 05 Minutes,311999
100000213404_2,Accident 2,100000213404,February 2009,05:00,000 Hours 45 Minutes,311999
100000214555_1,Accident 1,100000214555,July 2019,11:16,000 Hours 57 Minutes,49312
100000214715_1,Accident 1,100000214715,October 2017,16:48,000 Hours 01 Minutes,325199
100000215625_1,Accident 1,100000215625,July 2008,09:30,007 Hours 00 Minutes,49312
100000215732_1,Accident 1,100000215732,January 2012,16:55,000 Hours 20 Minutes,31213
100000220557_1,Accident 1,100000220557,January 2018,11:30,000 Hours 10 Minutes,311991
100000229807_1,Accident 1,100000229807,September 2023,10:55,001 Hours 08 Minutes,115114
100000238227_1,Accident 1,100000238227,March 2024,11:20,004 Hours 10 Minutes,31152
100000238511_1,Accident 1,100000238511,July 2020,10:35,000 Hours 01 Minutes,49312
100000246646_1,Accident 1,100000246646,March 2021,11:00,004 Hours 00 Minutes,42469
100000247155_1,Accident 1,100000247155,November 2020,10:30,000 Hours 05 Minutes,45431
100000009162_1,Accident 1,100000009162,June 2002,14:00,000 Hours 01 Minutes,42491
100000019071_1,Accident 1,100000019071,December 2001,10:00,000 Hours 01 Minutes,211112
100000033938_1,Accident 1,100000033938,March 2006,22:00,034 Hours 00 Minutes,22131
100000051971_1,Accident 1,100000051971,December 2022,10:55,004 Hours 00 Minutes,32411
100000057537_1,Accident 1,100000057537,March 1999,23:00,005 Hours 00 Minutes,325188
100000057537_2,Accident 2,100000057537,March 1999,05:30,000 Hours 05 Minutes,325188
100000057537_3,Accident 3,100000057537,July 1998,15:00,000 Hours 01 Minutes,325188
100000057537_4,Accident 4,100000057537,July 1998,15:00,000 Hours 02 Minutes,325188
100000057537_5,Accident 5,100000057537,June 1998,04:30,004 Hours 00 Minutes,325188
100000057537_6,Accident 6,100000057537,July 1997,12:00,000 Hours 01 Minutes,325188
100000057537_7,Accident 7,100000057537,March 1997,21:30,001 Hours 00 Minutes,325188
100000057537_8,Accident 8,100000057537,December 1995,01:00,002 Hours 00 Minutes,325188
100000057715_1,Accident 1,100000057715,August 2006,08:00,001 Hours 00 Minutes,22132
100000064921_1,Accident 1,100000064921,April 2015,00:12,000 Hours 01 Minutes,211112
100000076552_1,Accident 1,100000076552,January 2017,17:45,000 Hours 01 Minutes,211112
100000084473_1,Accident 1,100000084473,May 2022,14:45,000 Hours 05 Minutes,42469
100000102202_1,Accident 1,100000102202,March 2012,09:30,002 Hours 30 Minutes,11511
100000102934_1,Accident 1,100000102934,June 2013,13:10,000 Hours 01 Minutes,42491
100000106556_1,Accident 1,100000106556,August 2002,02:30,000 Hours 03 Minutes,42491
100000139735_1,Accident 1,100000139735,December 2020,22:30,024 Hours 00 Minutes,31212
100000180298_1,Accident 1,100000180298,December 2001,07:30,000 Hours 05 Minutes,212291
100000230886_1,Accident 1,100000230886,March 2022,16:50,000 Hours 15 Minutes,21113
100000072048_1,Accident 1,100000072048,August 1997,11:15,000 Hours 02 Minutes,22132
100000072912_1,Accident 1,100000072912,May 2002,09:45,000 Hours 05 Minutes,22131
100000108732_1,Accident 1,100000108732,October 1996,11:15,001 Hours 30 Minutes,22132
100000164886_1,Accident 1,100000164886,July 2012,07:30,000 Hours 20 Minutes,33999
100000164886_2,Accident 2,100000164886,April 2012,13:56,000 Hours 02 Minutes,33999
100000053808_1,Accident 1,100000053808,December 1995,23:11,000 Hours 19 Minutes,22132
100000072841_1,Accident 1,100000072841,September 2020,20:15,000 Hours 50 Minutes,32411
100000072841_2,Accident 2,100000072841,March 2020,13:35,002 Hours 26 Minutes,32411
100000089539_1,Accident 1,100000089539,May 2003,16:07,000 Hours 01 Minutes,325181
100000102364_1,Accident 1,100000102364,May 2014,15:30,000 Hours 15 Minutes,32513
100000102364_2,Accident 2,100000102364,January 2013,06:15,000 Hours 30 Minutes,32513
100000102364_3,Accident 3,100000102364,June 2011,11:18,000 Hours 12 Minutes,32513
100000102364_4,Accident 4,100000102364,May 2010,18:30,001 Hours 15 Minutes,32513
100000104585_1,Accident 1,100000104585,July 2017,17:01,000 Hours 20 Minutes,311615
100000109606_1,Accident 1,100000109606,August 2019,13:30,000 Hours 01 Minutes,325199
100000169293_1,Accident 1,100000169293,October 2008,11:27,000 Hours 16 Minutes,32512
100000003792_1,Accident 1,100000003792,March 2014,17:30,000 Hours 05 Minutes,31171
100000005157_1,Accident 1,100000005157,September 1994,23:30,002 Hours 00 Minutes,22131
100000018651_1,Accident 1,100000018651,February 2004,18:05,005 Hours 37 Minutes,22132
100000018651_2,Accident 2,100000018651,September 2001,03:00,000 Hours 30 Minutes,22132
100000023379_1,Accident 1,100000023379,December 1997,16:30,000 Hours 01 Minutes,325311
100000026633_1,Accident 1,100000026633,July 1995,08:05,000 Hours 04 Minutes,22131
100000028418_1,Accident 1,100000028418,November 1995,10:00,000 Hours 30 Minutes,22131
100000037006_1,Accident 1,100000037006,January 2012,10:35,002 Hours 08 Minutes,311411
100000043543_1,Accident 1,100000043543,January 1995,11:16,001 Hours 00 Minutes,22132
100000044098_1,Accident 1,100000044098,May 2000,16:50,001 Hours 00 Minutes,42269
100000045257_1,Accident 1,100000045257,April 1995,10:00,000 Hours 05 Minutes,22131
100000049556_1,Accident 1,100000049556,March 2006,11:20,001 Hours 00 Minutes,22131
100000049556_2,Accident 2,100000049556,September 2004,19:40,000 Hours 20 Minutes,22131
100000050972_1,Accident 1,100000050972,November 2019,07:58,000 Hours 02 Minutes,32211
100000051409_1,Accident 1,100000051409,September 1997,14:20,000 Hours 05 Minutes,311615
100000051409_2,Accident 2,100000051409,June 1997,05:05,000 Hours 01 Minutes,311615
100000056226_1,Accident 1,100000056226,October 2004,04:30,000 Hours 30 Minutes,49312
100000057902_1,Accident 1,100000057902,August 2001,11:30,000 Hours 15 Minutes,32615
100000058331_1,Accident 1,100000058331,September 1998,10:00,000 Hours 25 Minutes,22131
100000058331_2,Accident 2,100000058331,May 1997,10:30,000 Hours 01 Minutes,22131
100000058331_3,Accident 3,100000058331,May 1996,08:15,000 Hours 01 Minutes,22132
100000058331_4,Accident 4,100000058331,May 1995,20:40,000 Hours 15 Minutes,22132
100000063646_1,Accident 1,100000063646,October 2006,10:00,000 Hours 01 Minutes,22132
100000073742_1,Accident 1,100000073742,July 2013,13:56,000 Hours 36 Minutes,42491
100000075508_1,Accident 1,100000075508,June 2019,17:30,000 Hours 05 Minutes,32211
100000075508_2,Accident 2,100000075508,February 2019,23:00,003 Hours 00 Minutes,32211
100000075508_3,Accident 3,100000075508,January 2018,16:40,003 Hours 17 Minutes,32211
100000081635_1,Accident 1,100000081635,July 2020,20:45,000 Hours 30 Minutes,22132
100000082938_1,Accident 1,100000082938,December 2002,12:40,000 Hours 05 Minutes,325312
100000082938_2,Accident 2,100000082938,September 2002,11:35,001 Hours 10 Minutes,325312
100000094293_1,Accident 1,100000094293,June 2010,10:30,000 Hours 02 Minutes,22132
100000096068_1,Accident 1,100000096068,August 1999,09:00,000 Hours 30 Minutes,32522
100000096479_1,Accident 1,100000096479,December 2017,13:00,000 Hours 01 Minutes,48831
100000099573_1,Accident 1,100000099573,June 2002,08:00,042 Hours 00 Minutes,22131
100000115715_1,Accident 1,100000115715,June 1998,08:00,408 Hours 00 Minutes,49312
100000137318_1,Accident 1,100000137318,July 2001,06:25,000 Hours 01 Minutes,42469
100000137318_2,Accident 2,100000137318,September 1999,10:15,000 Hours 01 Minutes,42469
100000144532_1,Accident 1,100000144532,November 2019,15:30,009 Hours 25 Minutes,325312
100000152078_1,Accident 1,100000152078,July 2013,06:15,000 Hours 45 Minutes,311411
100000153193_1,Accident 1,100000153193,September 2023,08:25,000 Hours 01 Minutes,42469
100000153193_2,Accident 2,100000153193,July 2023,10:30,000 Hours 01 Minutes,42469
100000153193_3,Accident 3,100000153193,September 2022,06:25,000 Hours 01 Minutes,42469
100000153193_4,Accident 4,100000153193,July 2021,18:30,000 Hours 05 Minutes,42469
100000154129_1,Accident 1,100000154129,February 2020,08:00,000 Hours 01 Minutes,32518
100000154129_2,Accident 2,100000154129,January 2020,09:30,000 Hours 03 Minutes,32518
100000154129_3,Accident 3,100000154129,September 2019,05:30,000 Hours 05 Minutes,32518
100000154129_4,Accident 4,100000154129,June 2019,09:00,000 Hours 05 Minutes,32518
100000154129_5,Accident 5,100000154129,March 2019,18:24,000 Hours 10 Minutes,32518
100000154129_6,Accident 6,100000154129,March 2019,11:30,000 Hours 01 Minutes,32518
100000154129_7,Accident 7,100000154129,December 2018,10:30,000 Hours 10 Minutes,32518
100000154129_8,Accident 8,100000154129,October 2018,08:30,000 Hours 10 Minutes,32518
100000154129_9,Accident 9,100000154129,May 2017,01:00,000 Hours 05 Minutes,32518
100000154218_1,Accident 1,100000154218,February 1995,03:40,002 Hours 10 Minutes,22131
100000158116_1,Accident 1,100000158116,October 1995,21:30,003 Hours 00 Minutes,11131
100000173297_1,Accident 1,100000173297,December 2001,07:10,000 Hours 01 Minutes,31141
100000181359_1,Accident 1,100000181359,September 2009,22:30,018 Hours 00 Minutes,42469
100000183641_1,Accident 1,100000183641,February 2018,16:32,001 Hours 20 Minutes,325998
100000187148_1,Accident 1,100000187148,November 2022,07:45,003 Hours 08 Minutes,312113
100000194292_1,Accident 1,100000194292,March 2023,09:55,001 Hours 45 Minutes,311411
100000218089_1,Accident 1,100000218089,August 2018,15:00,000 Hours 01 Minutes,48821
100000007878_1,Accident 1,100000007878,December 2022,00:25,035 Hours 00 Minutes,311615
100000007878_2,Accident 2,100000007878,March 2019,12:30,001 Hours 00 Minutes,311615
100000020639_1,Accident 1,100000020639,March 2023,12:00,000 Hours 10 Minutes,32211
100000041938_1,Accident 1,100000041938,February 2014,13:45,001 Hours 05 Minutes,22132
100000050758_1,Accident 1,100000050758,June 2013,02:07,001 Hours 30 Minutes,311615
100000050758_2,Accident 2,100000050758,March 2013,19:05,000 Hours 10 Minutes,311615
100000060836_1,Accident 1,100000060836,April 2021,07:00,001 Hours 00 Minutes,32552
100000062264_1,Accident 1,100000062264,August 1994,08:50,007 Hours 50 Minutes,32532
100000066518_1,Accident 1,100000066518,April 2019,22:50,009 Hours 40 Minutes,32211
100000070638_1,Accident 1,100000070638,January 1997,14:15,001 Hours 12 Minutes,311821
100000073154_1,Accident 1,100000073154,June 2000,23:00,000 Hours 10 Minutes,32212
100000073154_2,Accident 2,100000073154,May 2000,08:00,000 Hours 10 Minutes,32212
100000073154_3,Accident 3,100000073154,January 2000,08:00,048 Hours 00 Minutes,32212
100000073154_4,Accident 4,100000073154,April 1999,15:45,000 Hours 15 Minutes,32212
100000073154_5,Accident 5,100000073154,April 1999,20:30,005 Hours 00 Minutes,32212
100000073154_6,Accident 6,100000073154,February 1999,16:00,000 Hours 10 Minutes,32211
100000073154_7,Accident 7,100000073154,October 1998,16:00,000 Hours 15 Minutes,32212
100000084972_1,Accident 1,100000084972,August 2001,09:00,000 Hours 10 Minutes,212324
100000100482_1,Accident 1,100000100482,November 2023,13:45,002 Hours 15 Minutes,311612
100000100856_1,Accident 1,100000100856,July 2022,21:45,002 Hours 30 Minutes,311615
100000125946_1,Accident 1,100000125946,May 2015,11:30,004 Hours 30 Minutes,311991
100000130798_1,Accident 1,100000130798,April 2019,07:30,000 Hours 20 Minutes,311813
100000135043_1,Accident 1,100000135043,September 2007,13:10,000 Hours 01 Minutes,325131
100000135043_2,Accident 2,100000135043,April 2007,16:00,000 Hours 34 Minutes,325131
100000135043_3,Accident 3,100000135043,July 2004,13:30,000 Hours 01 Minutes,325131
100000145363_1,Accident 1,100000145363,February 1995,09:15,002 Hours 15 Minutes,11511
100000155716_1,Accident 1,100000155716,January 2022,19:55,000 Hours 11 Minutes,311615
100000165812_1,Accident 1,100000165812,November 2003,06:10,000 Hours 10 Minutes,311511
100000171823_1,Accident 1,100000171823,September 2023,12:30,000 Hours 01 Minutes,32211
100000187237_1,Accident 1,100000187237,May 2005,17:00,009 Hours 00 Minutes,311615
100000187237_2,Accident 2,100000187237,November 2003,13:50,000 Hours 34 Minutes,311615
100000187237_3,Accident 3,100000187237,November 2002,21:00,000 Hours 30 Minutes,311615
100000212469_1,Accident 1,100000212469,October 2022,23:25,001 Hours 57 Minutes,42441
100000222109_1,Accident 1,100000222109,July 2014,03:36,000 Hours 10 Minutes,31192
100000234061_1,Accident 1,100000234061,August 2020,09:39,001 Hours 32 Minutes,42471
100000243676_1,Accident 1,100000243676,August 2020,22:00,000 Hours 04 Minutes,31141
100000077757_1,Accident 1,100000077757,April 2022,17:30,001 Hours 00 Minutes,22121
100000108787_1,Accident 1,100000108787,April 2010,21:00,000 Hours 01 Minutes,221112
100000199313_1,Accident 1,100000199313,August 2016,22:20,000 Hours 10 Minutes,54171
100000219925_1,Accident 1,100000219925,September 2016,07:05,042 Hours 00 Minutes,42469
100000003907_1,Accident 1,100000003907,January 2023,16:00,000 Hours 01 Minutes,311611
