EPA Facility ID,Has Accident,Accident Count,Accident Details
1E+11,Yes,1,"[{'Date of Accident': 'July 2000', 'NAICS Code of Process Involved': '311615'}]"
1E+11,Yes,1,"[{'Date of Accident': 'January 2023', 'NAICS Code of Process Involved': '32518'}]"
1E+11,Yes,3,"[{'Date of Accident': 'December 2021', 'NAICS Code of Process Involved': '32213'}, {'Date of Accident': 'May 2021', 'NAICS Code of Process Involved': '32213'}, {'Date of Accident': 'January 2018', 'NAICS Code of Process Involved': '32213'}]"
1E+11,Yes,1,"[{'Date of Accident': 'May 2018', 'NAICS Code of Process Involved': '562211'}]"
1E+11,Yes,4,"[{'Date of Accident': 'January 2023', 'NAICS Code of Process Involved': '325199'}, {'Date of Accident': 'December 2022', 'NAICS Code of Process Involved': '325199'}, {'Date of Accident': 'February 2022', 'NAICS Code of Process Involved': '325199'}, {'Date of Accident': 'December 2019', 'NAICS Code of Process Involved': '325199'}]"
1E+11,Yes,1,"[{'Date of Accident': 'October 2021', 'NAICS Code of Process Involved': '325998'}]"
1E+11,Yes,1,"[{'Date of Accident': 'February 2021', 'NAICS Code of Process Involved': '32411'}]"
1E+11,Yes,1,"[{'Date of Accident': 'December 2014', 'NAICS Code of Process Involved': '311615'}]"
1E+11,Yes,1,"[{'Date of Accident': 'October 2002', 'NAICS Code of Process Involved': '562211'}]"
1E+11,Yes,1,"[{'Date of Accident': 'November 2003', 'NAICS Code of Process Involved': '22131'}]"
1E+11,Yes,1,"[{'Date of Accident': 'July 2022', 'NAICS Code of Process Involved': '32599'}]"
1E+11,Yes,1,"[{'Date of Accident': 'July 2020', 'NAICS Code of Process Involved': '311111'}]"
1E+11,Yes,1,"[{'Date of Accident': 'March 2021', 'NAICS Code of Process Involved': '49312'}]"
1E+11,Yes,1,"[{'Date of Accident': 'July 2020', 'NAICS Code of Process Involved': '31111'}]"
1E+11,Yes,1,"[{'Date of Accident': 'February 1998', 'NAICS Code of Process Involved': '22131'}]"
1E+11,Yes,1,"[{'Date of Accident': 'November 2007', 'NAICS Code of Process Involved': '22132'}]"
1E+11,Yes,1,"[{'Date of Accident': 'June 2021', 'NAICS Code of Process Involved': '31151'}]"
1E+11,Yes,1,"[{'Date of Accident': 'July 2020', 'NAICS Code of Process Involved': '32615'}]"
1E+11,Yes,1,"[{'Date of Accident': 'May 2012', 'NAICS Code of Process Involved': '32512'}]"
1E+11,Yes,1,"[{'Date of Accident': 'October 2019', 'NAICS Code of Process Involved': '49312'}]"
1E+11,Yes,2,"[{'Date of Accident': 'January 2024', 'NAICS Code of Process Involved': '311514'}, {'Date of Accident': 'August 2009', 'NAICS Code of Process Involved': '311514'}]"
1E+11,Yes,1,"[{'Date of Accident': 'October 2022', 'NAICS Code of Process Involved': '312113'}]"
1E+11,Yes,1,"[{'Date of Accident': 'August 1995', 'NAICS Code of Process Involved': '32518'}]"
1E+11,Yes,1,"[{'Date of Accident': 'July 1995', 'NAICS Code of Process Involved': '42269'}]"
1E+11,Yes,1,"[{'Date of Accident': 'July 2013', 'NAICS Code of Process Involved': '42471'}]"
1E+11,Yes,1,"[{'Date of Accident': 'April 2016', 'NAICS Code of Process Involved': '31151'}]"
1E+11,Yes,1,"[{'Date of Accident': 'August 1995', 'NAICS Code of Process Involved': '49312'}]"
1E+11,Yes,1,"[{'Date of Accident': 'October 2023', 'NAICS Code of Process Involved': '49312'}]"
1E+11,Yes,1,"[{'Date of Accident': 'April 2021', 'NAICS Code of Process Involved': '32552'}]"
1E+11,Yes,1,"[{'Date of Accident': 'June 2010', 'NAICS Code of Process Involved': '325311'}]"
1E+11,Yes,1,"[{'Date of Accident': 'May 2008', 'NAICS Code of Process Involved': '42491'}]"
1E+11,Yes,3,"[{'Date of Accident': 'September 1998', 'NAICS Code of Process Involved': '49312'}, {'Date of Accident': 'May 1998', 'NAICS Code of Process Involved': '22131'}, {'Date of Accident': 'February 1995', 'NAICS Code of Process Involved': '22132'}]"
1E+11,Yes,1,"[{'Date of Accident': 'September 2018', 'NAICS Code of Process Involved': '48821'}]"
1E+11,Yes,2,"[{'Date of Accident': 'May 1998', 'NAICS Code of Process Involved': '221112'}, {'Date of Accident': 'April 1997', 'NAICS Code of Process Involved': '221112'}]"
1E+11,Yes,1,"[{'Date of Accident': 'November 2019', 'NAICS Code of Process Involved': '56191'}]"
1E+11,Yes,1,"[{'Date of Accident': 'February 2016', 'NAICS Code of Process Involved': '49312'}]"
1E+11,Yes,1,"[{'Date of Accident': 'June 2021', 'NAICS Code of Process Involved': '49312'}]"
1E+11,Yes,1,"[{'Date of Accident': 'November 2012', 'NAICS Code of Process Involved': '22133'}]"
1E+11,Yes,1,"[{'Date of Accident': 'October 2002', 'NAICS Code of Process Involved': '311421'}]"
1E+11,Yes,1,"[{'Date of Accident': 'May 2021', 'NAICS Code of Process Involved': '32532'}]"
1E+11,Yes,1,"[{'Date of Accident': 'July 1999', 'NAICS Code of Process Involved': '115114'}]"
1E+11,Yes,2,"[{'Date of Accident': 'May 2023', 'NAICS Code of Process Involved': '32411'}, {'Date of Accident': 'February 2020', 'NAICS Code of Process Involved': '32411'}]"
1E+11,Yes,1,"[{'Date of Accident': 'May 2009', 'NAICS Code of Process Involved': '49312'}]"
1E+11,Yes,1,"[{'Date of Accident': 'September 1999', 'NAICS Code of Process Involved': '115114'}]"
1E+11,Yes,1,"[{'Date of Accident': 'June 2020', 'NAICS Code of Process Involved': '115114'}]"
1E+11,Yes,1,"[{'Date of Accident': 'January 2021', 'NAICS Code of Process Involved': '311412'}]"
1E+11,Yes,1,"[{'Date of Accident': 'January 1996', 'NAICS Code of Process Involved': '32511'}]"
1E+11,Yes,1,"[{'Date of Accident': 'December 2022', 'NAICS Code of Process Involved': '22111'}]"
1E+11,Yes,1,"[{'Date of Accident': 'May 2012', 'NAICS Code of Process Involved': '33391'}]"
1E+11,Yes,2,"[{'Date of Accident': 'January 2020', 'NAICS Code of Process Involved': '32532'}, {'Date of Accident': 'January 2019', 'NAICS Code of Process Involved': '32519'}]"
1E+11,Yes,3,"[{'Date of Accident': 'February 2004', 'NAICS Code of Process Involved': '56179'}, {'Date of Accident': 'February 2004', 'NAICS Code of Process Involved': '56179'}, {'Date of Accident': 'July 2003', 'NAICS Code of Process Involved': '56179'}]"
1E+11,Yes,1,"[{'Date of Accident': 'May 2021', 'NAICS Code of Process Involved': '311513'}]"
1E+11,Yes,1,"[{'Date of Accident': 'April 2023', 'NAICS Code of Process Involved': '22131'}]"
1E+11,Yes,1,"[{'Date of Accident': 'June 2008', 'NAICS Code of Process Involved': '22132'}]"
1E+11,Yes,1,"[{'Date of Accident': 'January 2013', 'NAICS Code of Process Involved': '22132'}]"
1E+11,Yes,2,"[{'Date of Accident': 'April 2003', 'NAICS Code of Process Involved': '49312'}, {'Date of Accident': 'January 2003', 'NAICS Code of Process Involved': '31211'}]"
1E+11,Yes,1,"[{'Date of Accident': 'January 2019', 'NAICS Code of Process Involved': '32512'}]"
1E+11,Yes,1,"[{'Date of Accident': 'November 2020', 'NAICS Code of Process Involved': '325211'}]"
1E+11,Yes,1,"[{'Date of Accident': 'December 2020', 'NAICS Code of Process Involved': '32512'}]"
1E+11,Yes,1,"[{'Date of Accident': 'May 2024', 'NAICS Code of Process Involved': '325211'}]"
1E+11,Yes,1,"[{'Date of Accident': 'January 2018', 'NAICS Code of Process Involved': '32518'}]"
1E+11,Yes,1,"[{'Date of Accident': 'July 2006', 'NAICS Code of Process Involved': '42459'}]"
1E+11,Yes,1,"[{'Date of Accident': 'September 2020', 'NAICS Code of Process Involved': '49312'}]"
1E+11,Yes,1,"[{'Date of Accident': 'February 1997', 'NAICS Code of Process Involved': '56173'}]"
1E+11,Yes,1,"[{'Date of Accident': 'March 2011', 'NAICS Code of Process Involved': '311423'}]"
1E+11,Yes,1,"[{'Date of Accident': 'August 2024', 'NAICS Code of Process Involved': '21239'}]"
1E+11,Yes,2,"[{'Date of Accident': 'March 2022', 'NAICS Code of Process Involved': '212391'}, {'Date of Accident': 'August 2021', 'NAICS Code of Process Involved': '212391'}]"
1E+11,Yes,1,"[{'Date of Accident': 'May 2012', 'NAICS Code of Process Involved': '311615'}]"
1E+11,Yes,1,"[{'Date of Accident': 'May 1997', 'NAICS Code of Process Involved': '48211'}]"
1E+11,Yes,1,"[{'Date of Accident': 'December 2023', 'NAICS Code of Process Involved': '42491'}]"
1E+11,Yes,1,"[{'Date of Accident': 'August 2021', 'NAICS Code of Process Involved': '115114'}]"
1E+11,Yes,1,"[{'Date of Accident': 'May 2019', 'NAICS Code of Process Involved': '311511'}]"
1E+11,Yes,1,"[{'Date of Accident': 'May 2001', 'NAICS Code of Process Involved': '49312'}]"
1E+11,Yes,1,"[{'Date of Accident': 'March 1999', 'NAICS Code of Process Involved': '22132'}]"
1E+11,Yes,1,"[{'Date of Accident': 'August 2019', 'NAICS Code of Process Involved': '115114'}]"
1E+11,Yes,1,"[{'Date of Accident': 'November 2023', 'NAICS Code of Process Involved': '325199'}]"
1E+11,Yes,1,"[{'Date of Accident': 'March 2021', 'NAICS Code of Process Involved': '311513'}]"
1E+11,Yes,1,"[{'Date of Accident': 'July 1996', 'NAICS Code of Process Involved': '22132'}]"
1E+11,Yes,3,"[{'Date of Accident': 'August 2022', 'NAICS Code of Process Involved': '32411'}, {'Date of Accident': 'April 2020', 'NAICS Code of Process Involved': '32411'}, {'Date of Accident': 'February 2020', 'NAICS Code of Process Involved': '32411'}]"
1E+11,Yes,1,"[{'Date of Accident': 'November 2013', 'NAICS Code of Process Involved': '32518'}]"
1E+11,Yes,1,"[{'Date of Accident': 'May 2024', 'NAICS Code of Process Involved': '42491'}]"
1E+11,Yes,1,"[{'Date of Accident': 'August 2018', 'NAICS Code of Process Involved': '32531'}]"
1E+11,Yes,1,"[{'Date of Accident': 'November 2003', 'NAICS Code of Process Involved': '311999'}]"
1E+11,Yes,1,"[{'Date of Accident': 'September 2022', 'NAICS Code of Process Involved': '115114'}]"
1E+11,Yes,3,"[{'Date of Accident': 'June 2023', 'NAICS Code of Process Involved': '331314'}, {'Date of Accident': 'December 2020', 'NAICS Code of Process Involved': '331314'}, {'Date of Accident': 'October 2019', 'NAICS Code of Process Involved': '331314'}]"
1E+11,Yes,1,"[{'Date of Accident': 'April 2022', 'NAICS Code of Process Involved': '22131'}]"
1E+11,Yes,1,"[{'Date of Accident': 'May 2020', 'NAICS Code of Process Involved': '49312'}]"
1E+11,Yes,1,"[{'Date of Accident': 'March 2016', 'NAICS Code of Process Involved': '221116'}]"
1E+11,Yes,1,"[{'Date of Accident': 'October 1999', 'NAICS Code of Process Involved': '31142'}]"
1E+11,Yes,1,"[{'Date of Accident': 'October 1998', 'NAICS Code of Process Involved': '49313'}]"
1E+11,Yes,1,"[{'Date of Accident': 'April 2022', 'NAICS Code of Process Involved': '49312'}]"
1E+11,Yes,1,"[{'Date of Accident': 'August 2013', 'NAICS Code of Process Involved': '32615'}]"
1E+11,Yes,1,"[{'Date of Accident': 'January 2024', 'NAICS Code of Process Involved': '312113'}]"
1E+11,Yes,1,"[{'Date of Accident': 'October 1999', 'NAICS Code of Process Involved': '31142'}]"
1E+11,Yes,1,"[{'Date of Accident': 'May 2023', 'NAICS Code of Process Involved': '311411'}]"
1E+11,Yes,1,"[{'Date of Accident': 'March 2016', 'NAICS Code of Process Involved': '32512'}]"
1E+11,Yes,1,"[{'Date of Accident': 'October 2020', 'NAICS Code of Process Involved': '311611'}]"
1E+11,Yes,1,"[{'Date of Accident': 'May 2021', 'NAICS Code of Process Involved': '115114'}]"
1E+11,Yes,2,"[{'Date of Accident': 'August 2009', 'NAICS Code of Process Involved': '311999'}, {'Date of Accident': 'February 2009', 'NAICS Code of Process Involved': '311999'}]"
1E+11,Yes,1,"[{'Date of Accident': 'July 2019', 'NAICS Code of Process Involved': '49312'}]"
1E+11,Yes,1,"[{'Date of Accident': 'October 2017', 'NAICS Code of Process Involved': '325199'}]"
1E+11,Yes,1,"[{'Date of Accident': 'July 2008', 'NAICS Code of Process Involved': '49312'}]"
1E+11,Yes,1,"[{'Date of Accident': 'January 2012', 'NAICS Code of Process Involved': '31213'}]"
1E+11,Yes,1,"[{'Date of Accident': 'January 2018', 'NAICS Code of Process Involved': '311991'}]"
1E+11,Yes,1,"[{'Date of Accident': 'September 2023', 'NAICS Code of Process Involved': '115114'}]"
1E+11,Yes,1,"[{'Date of Accident': 'March 2024', 'NAICS Code of Process Involved': '31152'}]"
1E+11,Yes,1,"[{'Date of Accident': 'July 2020', 'NAICS Code of Process Involved': '49312'}]"
1E+11,Yes,1,"[{'Date of Accident': 'March 2021', 'NAICS Code of Process Involved': '42469'}]"
1E+11,Yes,1,"[{'Date of Accident': 'November 2020', 'NAICS Code of Process Involved': '45431'}]"
1E+11,Yes,1,"[{'Date of Accident': 'June 2002', 'NAICS Code of Process Involved': '42491'}]"
1E+11,Yes,1,"[{'Date of Accident': 'December 2001', 'NAICS Code of Process Involved': '211112'}]"
1E+11,Yes,1,"[{'Date of Accident': 'March 2006', 'NAICS Code of Process Involved': '22131'}]"
1E+11,Yes,1,"[{'Date of Accident': 'December 2022', 'NAICS Code of Process Involved': '32411'}]"
1E+11,Yes,8,"[{'Date of Accident': 'March 1999', 'NAICS Code of Process Involved': '325188'}, {'Date of Accident': 'March 1999', 'NAICS Code of Process Involved': '325188'}, {'Date of Accident': 'July 1998', 'NAICS Code of Process Involved': '325188'}, {'Date of Accident': 'July 1998', 'NAICS Code of Process Involved': '325188'}, {'Date of Accident': 'June 1998', 'NAICS Code of Process Involved': '325188'}, {'Date of Accident': 'July 1997', 'NAICS Code of Process Involved': '325188'}, {'Date of Accident': 'March 1997', 'NAICS Code of Process Involved': '325188'}, {'Date of Accident': 'December 1995', 'NAICS Code of Process Involved': '325188'}]"
1E+11,Yes,1,"[{'Date of Accident': 'August 2006', 'NAICS Code of Process Involved': '22132'}]"
1E+11,Yes,1,"[{'Date of Accident': 'April 2015', 'NAICS Code of Process Involved': '211112'}]"
1E+11,Yes,1,"[{'Date of Accident': 'January 2017', 'NAICS Code of Process Involved': '211112'}]"
1E+11,Yes,1,"[{'Date of Accident': 'May 2022', 'NAICS Code of Process Involved': '42469'}]"
1E+11,Yes,1,"[{'Date of Accident': 'March 2012', 'NAICS Code of Process Involved': '11511'}]"
1E+11,Yes,1,"[{'Date of Accident': 'June 2013', 'NAICS Code of Process Involved': '42491'}]"
1E+11,Yes,1,"[{'Date of Accident': 'August 2002', 'NAICS Code of Process Involved': '42491'}]"
1E+11,Yes,1,"[{'Date of Accident': 'December 2020', 'NAICS Code of Process Involved': '31212'}]"
1E+11,Yes,1,"[{'Date of Accident': 'December 2001', 'NAICS Code of Process Involved': '212291'}]"
1E+11,Yes,1,"[{'Date of Accident': 'March 2022', 'NAICS Code of Process Involved': '21113'}]"
1E+11,Yes,1,"[{'Date of Accident': 'August 1997', 'NAICS Code of Process Involved': '22132'}]"
1E+11,Yes,1,"[{'Date of Accident': 'May 2002', 'NAICS Code of Process Involved': '22131'}]"
1E+11,Yes,1,"[{'Date of Accident': 'October 1996', 'NAICS Code of Process Involved': '22132'}]"
1E+11,Yes,2,"[{'Date of Accident': 'July 2012', 'NAICS Code of Process Involved': '33999'}, {'Date of Accident': 'April 2012', 'NAICS Code of Process Involved': '33999'}]"
1E+11,Yes,1,"[{'Date of Accident': 'December 1995', 'NAICS Code of Process Involved': '22132'}]"
1E+11,Yes,2,"[{'Date of Accident': 'September 2020', 'NAICS Code of Process Involved': '32411'}, {'Date of Accident': 'March 2020', 'NAICS Code of Process Involved': '32411'}]"
1E+11,Yes,1,"[{'Date of Accident': 'May 2003', 'NAICS Code of Process Involved': '325181'}]"
1E+11,Yes,4,"[{'Date of Accident': 'May 2014', 'NAICS Code of Process Involved': '32513'}, {'Date of Accident': 'January 2013', 'NAICS Code of Process Involved': '32513'}, {'Date of Accident': 'June 2011', 'NAICS Code of Process Involved': '32513'}, {'Date of Accident': 'May 2010', 'NAICS Code of Process Involved': '32513'}]"
1E+11,Yes,1,"[{'Date of Accident': 'July 2017', 'NAICS Code of Process Involved': '311615'}]"
1E+11,Yes,1,"[{'Date of Accident': 'August 2019', 'NAICS Code of Process Involved': '325199'}]"
1E+11,Yes,1,"[{'Date of Accident': 'October 2008', 'NAICS Code of Process Involved': '32512'}]"
1E+11,Yes,1,"[{'Date of Accident': 'March 2014', 'NAICS Code of Process Involved': '31171'}]"
1E+11,Yes,1,"[{'Date of Accident': 'September 1994', 'NAICS Code of Process Involved': '22131'}]"
1E+11,Yes,2,"[{'Date of Accident': 'February 2004', 'NAICS Code of Process Involved': '22132'}, {'Date of Accident': 'September 2001', 'NAICS Code of Process Involved': '22132'}]"
1E+11,Yes,1,"[{'Date of Accident': 'December 1997', 'NAICS Code of Process Involved': '325311'}]"
1E+11,Yes,1,"[{'Date of Accident': 'July 1995', 'NAICS Code of Process Involved': '22131'}]"
1E+11,Yes,1,"[{'Date of Accident': 'November 1995', 'NAICS Code of Process Involved': '22131'}]"
1E+11,Yes,1,"[{'Date of Accident': 'January 2012', 'NAICS Code of Process Involved': '311411'}]"
1E+11,Yes,1,"[{'Date of Accident': 'January 1995', 'NAICS Code of Process Involved': '22132'}]"
1E+11,Yes,1,"[{'Date of Accident': 'May 2000', 'NAICS Code of Process Involved': '42269'}]"
1E+11,Yes,1,"[{'Date of Accident': 'April 1995', 'NAICS Code of Process Involved': '22131'}]"
1E+11,Yes,2,"[{'Date of Accident': 'March 2006', 'NAICS Code of Process Involved': '22131'}, {'Date of Accident': 'September 2004', 'NAICS Code of Process Involved': '22131'}]"
1E+11,Yes,1,"[{'Date of Accident': 'November 2019', 'NAICS Code of Process Involved': '32211'}]"
1E+11,Yes,2,"[{'Date of Accident': 'September 1997', 'NAICS Code of Process Involved': '311615'}, {'Date of Accident': 'June 1997', 'NAICS Code of Process Involved': '311615'}]"
1E+11,Yes,1,"[{'Date of Accident': 'October 2004', 'NAICS Code of Process Involved': '49312'}]"
1E+11,Yes,1,"[{'Date of Accident': 'August 2001', 'NAICS Code of Process Involved': '32615'}]"
1E+11,Yes,4,"[{'Date of Accident': 'September 1998', 'NAICS Code of Process Involved': '22131'}, {'Date of Accident': 'May 1997', 'NAICS Code of Process Involved': '22131'}, {'Date of Accident': 'May 1996', 'NAICS Code of Process Involved': '22132'}, {'Date of Accident': 'May 1995', 'NAICS Code of Process Involved': '22132'}]"
1E+11,Yes,1,"[{'Date of Accident': 'October 2006', 'NAICS Code of Process Involved': '22132'}]"
1E+11,Yes,1,"[{'Date of Accident': 'July 2013', 'NAICS Code of Process Involved': '42491'}]"
1E+11,Yes,3,"[{'Date of Accident': 'June 2019', 'NAICS Code of Process Involved': '32211'}, {'Date of Accident': 'February 2019', 'NAICS Code of Process Involved': '32211'}, {'Date of Accident': 'January 2018', 'NAICS Code of Process Involved': '32211'}]"
1E+11,Yes,1,"[{'Date of Accident': 'July 2020', 'NAICS Code of Process Involved': '22132'}]"
1E+11,Yes,2,"[{'Date of Accident': 'December 2002', 'NAICS Code of Process Involved': '325312'}, {'Date of Accident': 'September 2002', 'NAICS Code of Process Involved': '325312'}]"
1E+11,Yes,1,"[{'Date of Accident': 'June 2010', 'NAICS Code of Process Involved': '22132'}]"
1E+11,Yes,1,"[{'Date of Accident': 'August 1999', 'NAICS Code of Process Involved': '32522'}]"
1E+11,Yes,1,"[{'Date of Accident': 'December 2017', 'NAICS Code of Process Involved': '48831'}]"
1E+11,Yes,1,"[{'Date of Accident': 'June 2002', 'NAICS Code of Process Involved': '22131'}]"
1E+11,Yes,1,"[{'Date of Accident': 'June 1998', 'NAICS Code of Process Involved': '49312'}]"
1E+11,Yes,2,"[{'Date of Accident': 'July 2001', 'NAICS Code of Process Involved': '42469'}, {'Date of Accident': 'September 1999', 'NAICS Code of Process Involved': '42469'}]"
1E+11,Yes,1,"[{'Date of Accident': 'November 2019', 'NAICS Code of Process Involved': '325312'}]"
1E+11,Yes,1,"[{'Date of Accident': 'July 2013', 'NAICS Code of Process Involved': '311411'}]"
1E+11,Yes,4,"[{'Date of Accident': 'September 2023', 'NAICS Code of Process Involved': '42469'}, {'Date of Accident': 'July 2023', 'NAICS Code of Process Involved': '42469'}, {'Date of Accident': 'September 2022', 'NAICS Code of Process Involved': '42469'}, {'Date of Accident': 'July 2021', 'NAICS Code of Process Involved': '42469'}]"
1E+11,Yes,9,"[{'Date of Accident': 'February 2020', 'NAICS Code of Process Involved': '32518'}, {'Date of Accident': 'January 2020', 'NAICS Code of Process Involved': '32518'}, {'Date of Accident': 'September 2019', 'NAICS Code of Process Involved': '32518'}, {'Date of Accident': 'June 2019', 'NAICS Code of Process Involved': '32518'}, {'Date of Accident': 'March 2019', 'NAICS Code of Process Involved': '32518'}, {'Date of Accident': 'March 2019', 'NAICS Code of Process Involved': '32518'}, {'Date of Accident': 'December 2018', 'NAICS Code of Process Involved': '32518'}, {'Date of Accident': 'October 2018', 'NAICS Code of Process Involved': '32518'}, {'Date of Accident': 'May 2017', 'NAICS Code of Process Involved': '32518'}]"
1E+11,Yes,1,"[{'Date of Accident': 'February 1995', 'NAICS Code of Process Involved': '22131'}]"
1E+11,Yes,1,"[{'Date of Accident': 'October 1995', 'NAICS Code of Process Involved': '11131'}]"
1E+11,Yes,1,"[{'Date of Accident': 'December 2001', 'NAICS Code of Process Involved': '31141'}]"
1E+11,Yes,1,"[{'Date of Accident': 'September 2009', 'NAICS Code of Process Involved': '42469'}]"
1E+11,Yes,1,"[{'Date of Accident': 'February 2018', 'NAICS Code of Process Involved': '325998'}]"
1E+11,Yes,1,"[{'Date of Accident': 'November 2022', 'NAICS Code of Process Involved': '312113'}]"
1E+11,Yes,1,"[{'Date of Accident': 'March 2023', 'NAICS Code of Process Involved': '311411'}]"
1E+11,Yes,1,"[{'Date of Accident': 'August 2018', 'NAICS Code of Process Involved': '48821'}]"
1E+11,Yes,2,"[{'Date of Accident': 'December 2022', 'NAICS Code of Process Involved': '311615'}, {'Date of Accident': 'March 2019', 'NAICS Code of Process Involved': '311615'}]"
1E+11,Yes,1,"[{'Date of Accident': 'March 2023', 'NAICS Code of Process Involved': '32211'}]"
1E+11,Yes,1,"[{'Date of Accident': 'February 2014', 'NAICS Code of Process Involved': '22132'}]"
1E+11,Yes,2,"[{'Date of Accident': 'June 2013', 'NAICS Code of Process Involved': '311615'}, {'Date of Accident': 'March 2013', 'NAICS Code of Process Involved': '311615'}]"
